wazi,wspd,route,wangle,sail,speed,chrono,lon,lat
274,8.24,68,-154,GV Spi,5.43,2d 13h 33' 18",8° 10.175',41° 06.200'
274,8.24,68,-154,GV Spi,5.42,2d 13h 33' 31",8° 10.199',41° 06.207'
274,8.23,68,-154,GV Spi,5.42,2d 13h 33' 51",8° 10.237',41° 06.218'
274,8.22,68,-154,GV Spi,5.42,2d 13h 34' 24",8° 10.298',41° 06.237'
274,8.22,68,-154,GV Spi,5.41,2d 13h 34' 28",8° 10.305',41° 06.239'
274,8.21,68,-154,GV Spi,5.41,2d 13h 34' 53",8° 10.351',41° 06.253'
274,8.21,68,-154,GV Spi,5.40,2d 13h 35' 23",8° 10.405',41° 06.270'
274,8.20,68,-154,GV Spi,5.40,2d 13h 35' 27",8° 10.413',41° 06.272'
274,8.19,68,-154,GV Spi,5.40,2d 13h 36' 00",8° 10.474',41° 06.290'
274,8.19,68,-154,GV Spi,5.39,2d 13h 36' 20",8° 10.511',41° 06.302'
274,8.18,68,-154,GV Spi,5.39,2d 13h 36' 29",8° 10.527',41° 06.307'
274,8.17,68,-154,GV Spi,5.39,2d 13h 37' 02",8° 10.588',41° 06.325'
274,8.17,68,-154,GV Spi,5.38,2d 13h 37' 18",8° 10.618',41° 06.334'
274,8.16,68,-154,GV Spi,5.38,2d 13h 37' 35",8° 10.648',41° 06.344'
274,8.15,68,-154,GV Spi,5.38,2d 13h 38' 03",8° 10.702',41° 06.360'
274,8.15,68,-154,GV Spi,5.37,2d 13h 38' 16",8° 10.725',41° 06.367'
274,8.14,68,-154,GV Spi,5.37,2d 13h 38' 36",8° 10.762',41° 06.378'
274,8.13,68,-154,GV Spi,5.36,2d 13h 39' 10",8° 10.824',41° 06.397'
274,8.12,68,-154,GV Spi,5.36,2d 13h 39' 39",8° 10.876',41° 06.413'
